country_feature,age_feature,days_since_first_funding,category_score,market_score,postA_tweet_num,postA_tweet_freq,postA_tweet_avglength,postA_tweet_content_richness,postA_tweet_interactiveness,tweets_pos_topic_score,tweets_neg_topic_score,tweets_neg_sent_score,tweets_neu_sent_score,tweets_pos_sent_score,tweets_compound_sent_score,WILL
1,4017.0,1787,59.31565437,82.21382577,231,3.8226950354609928,85.49350649350649,0.1471861471861472,0.20346320346320346,0.013924897,0.010791276,0.01922,0.8635200000000001,0.09726,0.08731,1
1,1825.0,1613,389.16526885,356.91184330000004,532,3.0700741962077496,98.8984962406015,0.2650375939849624,2.8421052631578947,0.0081574209,0.006653165,0.05265,0.81002,0.13733,0.101577,1
1,3286.0,3105,226.30129666,289.18092005,3320,7.934448617275523,114.50813253012049,1.7774096385542169,2.8629518072289155,0.011498846,0.0063217613,0.0136,0.86861,0.11780999999999997,0.16200699999999998,1
1,6573.0,3192,3.35048355,268.93899976,4,0.022134387351778657,25.0,0.0,0.0,0.0021963192,0.0026756322,0.0,1.0,0.0,0.0,1
1,2135.0,1372,226.41080007,241.68366086,3379,15.299482535575681,101.24356318437408,1.5483870967741935,1.5930748742231429,0.012105564,0.0057807374,0.02584,0.82183,0.15232,0.172861,1
1,2921.0,2190,130.7837901,181.49914088,230,4.5098039215686265,117.90869565217392,0.2782608695652174,0.1826086956521739,0.0068710204,0.008279548000000001,0.02913,0.8884299999999999,0.08246,0.092263,0
1,2190.0,1891,117.60217205,219.69535558,824,4.18577648766328,115.86407766990291,1.2038834951456308,1.4720873786407769,0.010666996000000002,0.006700030500000001,0.01334,0.88741,0.09926,0.138007,1
0,2009.0,2039,478.24619598,258.17533113,1588,12.48988764044944,100.02707808564232,0.2802267002518892,0.6045340050377834,0.018197333,0.015990751,0.02302,0.8483200000000001,0.12866,0.15171500000000002,1
1,2131.0,1917,540.90640856,330.37302876,901,4.931196247068021,121.5305216426193,0.9278579356270812,1.3307436182019978,0.015021496,0.0051915841,0.02437,0.80966,0.16596,0.225582,1
0,2829.0,2308,609.21360784,235.48940138,8545,164.3269230769231,75.53130485664131,0.0047981275599765965,0.03148039789350497,0.0026225713,0.01152233,0.03387,0.92344,0.04269,0.009507,0
1,5546.0,1156,55.86309823,258.15609298,16124,80.67762687634024,113.57857851649716,2.6614363681468616,0.5592904986355743,0.012038347,0.005770026700000001,0.02344,0.8282299999999999,0.14832,0.20528,1
1,1825.0,1239,-7.67411843,204.19681752,174,3.355371900826446,125.33333333333331,2.074712643678161,0.4942528735632184,0.010647432,0.012538943,0.12838,0.76053,0.1011,-0.030298,0
1,2070.0,2190,113.5942938,240.89692073,172,3.3076923076923075,64.0813953488372,0.3488372093023256,0.13372093023255813,0.0099288188,0.017724629,0.02015,0.8873,0.09255,0.092815,0
1,2268.962166575939,1211,113.31515983,269.58455843,575,11.243016759776538,91.59130434782608,0.9895652173913044,0.4017391304347826,0.0075185541000000015,0.013646971,0.0,0.8378200000000001,0.16218,0.186888,0
0,4382.0,3194,164.36426031,167.48903065,20,0.0860479409956976,120.2,0.0,0.3,0.0061238948,0.006871501899999999,0.0612,0.8412,0.0976,0.05574,1
1,1886.0,1253,72.76274681,202.52018661,6094,33.882446386020646,104.57203807023302,1.3217919264850673,1.1214309156547424,0.0070984182,0.01164594,0.03134,0.84457,0.12409,0.1783,1
0,2648.0,2190,556.95116108,174.53503671,174,3.4213483146067416,102.2471264367816,0.2413793103448276,0.3735632183908046,0.012632651000000002,0.014761725,0.03633,0.78696,0.1767,0.199325,0
0,2921.0,2576,154.22927188,208.86103439,94,0.37407617964752704,122.98936170212765,0.9787234042553192,0.22340425531914893,0.015239896,0.021460257000000003,0.018297872,0.84630851,0.13537234,0.1914883,1
